,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,1,KI,1601254150,80,3.07,172.79,82.11,17.13
1,bengkulu,99,ID,1601254151,76,-3.8,102.27,79.83,6.85
2,rikitea,0,PF,1601254151,78,-23.12,-134.97,74.62,11.88
3,mehamn,70,NO,1601254152,82,71.04,27.85,40.05,12.62
4,lagoa,50,PT,1601254153,88,39.05,-27.98,70.21,6.33
5,mys shmidta,99,RU,1601254153,93,62.06,48.62,47.3,3.04
6,dikson,100,RU,1601254154,79,73.51,80.55,37.11,26.66
7,tinskoy,100,RU,1601254154,89,56.15,96.92,41.7,6.33
8,avarua,0,CK,1601254120,65,-21.21,-159.78,77.0,12.75
9,tuktoyaktuk,90,CA,1601254156,93,69.45,-133.04,37.4,3.36
10,tiksi,69,RU,1601254156,81,71.69,128.87,41.86,11.97
11,dingle,0,PH,1601254157,76,11.0,122.67,84.45,2.62
12,farafangana,61,MG,1601254157,89,-22.82,47.83,68.7,6.31
13,castro,100,BR,1601254158,80,-24.79,-50.01,65.61,5.39
14,saint-augustin,100,CA,1601254158,90,51.23,-58.65,53.37,8.25
15,busselton,99,AU,1601254159,88,-33.65,115.33,60.01,9.06
16,ballina,75,AU,1601254159,68,-28.87,153.57,66.99,12.75
17,comodoro rivadavia,17,BR,1601254160,79,-13.66,-59.79,72.0,4.18
18,half moon bay,100,LR,1601254160,91,6.38,-10.7,75.78,2.89
19,atar,0,MR,1601254095,24,20.52,-13.05,88.68,10.92
20,palana,0,RU,1601254161,62,59.12,159.97,46.96,11.74
21,albany,2,US,1601254116,77,42.6,-73.97,73.0,4.27
22,rio grande,40,GR,1601254162,73,38.3,21.78,69.8,4.7
23,rivadavia,0,AR,1601254087,23,-33.19,-68.46,62.6,4.7
24,gore,100,NZ,1601254152,96,-46.1,168.94,34.88,11.68
25,hobyo,85,SO,1601254163,94,5.35,48.53,75.22,9.31
26,miandrivazo,95,MG,1601254164,72,-19.52,45.47,75.88,3.74
27,merauke,96,ID,1601254164,69,-8.47,140.33,84.06,9.82
28,trud,5,BG,1601254165,71,42.23,24.73,51.8,4.7
29,vaini,20,TO,1601254165,74,-21.2,-175.2,78.8,9.17
30,khash,0,IR,1601254166,32,28.22,61.22,58.06,2.28
31,havre-saint-pierre,90,CA,1601254167,93,50.23,-63.6,51.8,6.93
32,yarkovo,35,RU,1601254167,97,57.4,67.08,46.15,4.32
33,kokstad,100,ZA,1601254168,87,-30.55,29.42,42.78,3.06
34,qaanaaq,81,GL,1601254168,77,77.48,-69.36,13.21,6.89
35,buala,70,SB,1601254169,72,-8.14,159.59,84.22,8.55
36,ushuaia,40,AR,1601254170,56,-54.8,-68.3,44.6,16.11
37,hilo,1,US,1601254003,55,19.73,-155.09,87.8,10.29
38,axim,87,GH,1601254171,90,4.87,-2.24,75.61,8.28
39,rio gallegos,40,GR,1601254011,73,38.3,21.78,69.8,4.7
40,guerrero negro,100,MX,1601254172,81,17.67,-100.0,68.9,4.29
41,tasiilaq,100,GL,1601254173,96,65.61,-37.64,33.8,16.11
42,tiznit,0,MA,1601254173,52,29.58,-9.5,72.09,1.9
43,provideniya,75,RU,1601254174,64,64.38,-173.3,39.2,11.18
44,atuona,4,PF,1601254175,74,-9.8,-139.03,78.37,15.35
45,carauari,49,BR,1601254175,86,-4.88,-66.9,75.4,1.95
46,victoria,100,HK,1601254037,83,22.29,114.16,81.0,3.0
47,punta arenas,100,PH,1601254176,67,8.99,125.34,85.17,3.2
48,rawson,0,AR,1601254177,47,-43.3,-65.1,52.16,9.89
49,esperance,90,AU,1601254178,100,-33.87,121.9,55.4,8.05
50,hobart,75,AU,1601253888,47,-42.88,147.33,57.2,17.22
51,thompson,90,CA,1601254178,93,55.74,-97.86,42.8,10.29
52,saint-pierre,0,RE,1601254179,64,-21.34,55.48,68.0,6.93
53,svetlogorsk,100,BY,1601254179,83,52.63,29.73,53.06,8.81
54,garden city,75,DE,1601254180,93,53.69,12.05,53.01,4.7
55,dwarka,25,IN,1601254180,70,22.24,68.97,80.73,8.57
56,mahanoro,58,MG,1601254181,88,-19.9,48.8,70.09,5.68
57,chokurdakh,90,RU,1601254181,80,70.63,147.92,43.38,1.74
58,cape town,0,CL,1601254182,54,-36.41,-71.9,57.2,5.82
59,marzuq,48,YE,1601254182,52,14.4,46.47,76.48,1.74
60,bluff,98,NZ,1601254183,69,-46.6,168.33,41.07,27.04
61,tanete,69,ID,1601254183,53,-3.94,119.78,86.13,12.24
62,karacabey,0,TR,1601254184,82,40.22,28.4,57.2,3.36
63,saskylakh,100,RU,1601254185,92,71.92,114.08,35.53,21.72
64,vestmannaeyjar,100,IS,1601254185,79,63.44,-20.27,46.24,16.96
65,luderitz,0,NA,1601254186,66,-26.65,15.16,52.56,16.73
66,kurumkan,70,RU,1601254186,65,54.3,110.3,42.93,3.62
67,tura,90,IN,1601254187,96,25.52,90.22,74.44,3.44
68,sambava,8,MG,1601254187,91,-14.27,50.17,68.34,7.18
69,hami,100,CN,1601254188,29,42.8,93.45,59.22,1.52
70,istria,0,RO,1601254188,71,44.57,28.72,55.4,2.01
71,jamestown,1,US,1601254189,72,42.1,-79.24,68.0,6.93
72,mataura,100,NZ,1601254189,95,-46.19,168.86,34.81,10.04
73,geraldton,0,AU,1601254190,72,-28.77,114.6,60.8,8.05
74,sechura,0,PE,1601254190,81,-5.56,-80.82,62.62,15.86
75,mweka,78,CD,1601254191,98,-4.85,21.57,69.13,1.63
76,nyurba,85,RU,1601254191,76,63.28,118.33,43.92,9.06
77,komsomolskiy,10,UZ,1601254192,51,40.43,71.72,59.0,4.7
78,bambous virieux,40,MU,1601254192,94,-20.26,57.41,71.01,6.93
79,new norfolk,100,LR,1601254192,97,6.65,-10.59,72.3,1.59
80,kalangala,59,UG,1601254193,82,-0.31,32.23,70.77,13.2
81,richards bay,1,US,1601254194,81,46.84,-95.91,51.8,4.7
82,singaparna,100,ID,1601254194,81,-7.35,108.11,74.21,3.98
83,kumba,97,CM,1601254195,97,4.64,9.45,69.75,0.69
84,pirai do sul,58,BR,1601254196,88,-22.63,-43.9,77.0,6.93
85,chato,28,TZ,1601254196,78,-2.64,31.77,68.86,1.41
86,benguela,29,AO,1601254197,80,-12.58,13.41,70.0,2.91
87,arraial do cabo,43,BR,1601254197,28,-22.84,-46.65,84.2,5.82
88,sao felix do xingu,100,IN,1601254198,96,20.51,76.21,68.34,7.07
89,sept-iles,90,CA,1601254134,100,50.2,-66.38,50.0,4.7
90,ayorou,87,NE,1601254199,43,14.73,0.92,86.99,13.56
91,mackay,75,AU,1601254199,65,-21.15,149.2,78.8,12.75
92,lebu,24,CL,1601254200,88,-37.62,-73.65,49.6,12.86
93,bredasdorp,0,ZA,1601254200,87,-34.53,20.04,44.6,3.36
94,champerico,20,GT,1601254201,88,14.3,-91.92,78.8,8.5
95,matagami,75,CA,1601254201,93,49.75,-77.63,60.8,6.93
96,dahra,0,DZ,1601254202,63,36.25,0.85,62.6,0.65
97,labuhan,100,ID,1601254202,67,-6.88,112.21,82.38,10.4
98,caravelas,0,BR,1601254202,89,-17.71,-39.25,71.6,6.44
99,acarau,0,BR,1601254203,81,-2.89,-40.12,77.32,14.29
100,port elizabeth,44,CD,1601254203,59,-7.03,29.76,76.51,4.81
101,chapais,90,CA,1601254061,88,49.78,-74.85,64.4,13.87
102,byron bay,90,US,1601254204,55,44.03,-92.65,60.8,9.17
103,yeppoon,20,AU,1601253923,53,-23.13,150.73,77.0,10.29
104,huilong,99,CN,1601254205,74,31.81,121.66,72.48,10.33
105,berbera,58,SO,1601254206,76,10.44,45.01,85.91,4.79
106,bonavista,100,CA,1601254206,87,48.65,-53.11,59.47,19.53
107,pevek,100,RU,1601254207,80,69.7,170.31,36.52,24.25
108,grand river south east,1,US,1601254002,10,38.88,-109.5,77.0,16.11
109,puerto escondido,4,ES,1601254207,93,36.59,-6.23,62.6,4.7
110,cariamanga,93,EC,1601254208,96,-4.33,-79.55,55.71,1.41
111,rockhampton,20,AU,1601254208,53,-23.38,150.5,77.0,10.29
112,svetlaya,0,RU,1601254209,63,46.54,138.33,59.27,8.01
113,souillac,40,MU,1601254209,94,-20.52,57.52,69.8,6.93
114,bayan,100,CN,1601254210,81,46.08,127.4,56.07,6.69
115,clyde river,99,US,1601254210,69,41.3,-82.98,73.0,12.48
116,port alfred,44,CD,1601254211,59,-7.03,29.76,76.51,4.81
117,kieta,100,PG,1601254211,87,-6.22,155.63,77.79,4.0
118,hasaki,20,JP,1601254212,78,35.73,140.83,73.0,4.7
